Age	Period	Sex	Country	Non_Depressed	Depressed	Cohort			
52	2004	Male	Germany	174	20	1952			
56	2004	Male	Germany	167	17	1948			
60	2004	Male	Germany	175	20	1944			
64	2004	Male	Germany	204	23	1940			
68	2004	Male	Germany	194	20	1936			
72	2004	Male	Germany	110	18	1932			
76	2004	Male	Germany	94	14	1928			
80	2004	Male	Germany	41	18	1924			
84	2004	Male	Germany	25	10	1920			
52	2008	Male	Germany	149	16	1956			
56	2008	Male	Germany	269	40	1952			
60	2008	Male	Germany	208	32	1948			
64	2008	Male	Germany	277	30	1944			
68	2008	Male	Germany	294	38	1940			
72	2008	Male	Germany	202	27	1936			
76	2008	Male	Germany	118	19	1932			
80	2008	Male	Germany	96	11	1928			
84	2008	Male	Germany	42	16	1924			
52	2012	Male	Germany	307	82	1960			
56	2012	Male	Germany	319	69	1956			
60	2012	Male	Germany	380	85	1952			
64	2012	Male	Germany	415	86	1948			
68	2012	Male	Germany	360	65	1944			
72	2012	Male	Germany	392	66	1940			
76	2012	Male	Germany	292	67	1936			
80	2012	Male	Germany	151	48	1932			
84	2012	Male	Germany	151	43	1928			
52	2016	Male	Germany	238	58	1964			
56	2016	Male	Germany	422	82	1960			
60	2016	Male	Germany	462	84	1956			
64	2016	Male	Germany	300	60	1952			
68	2016	Male	Germany	293	50	1948			
72	2016	Male	Germany	266	53	1944			
76	2016	Male	Germany	280	51	1940			
80	2016	Male	Germany	165	38	1936			
84	2016	Male	Germany	126	42	1932			
52	2004	Female	Germany	200	54	1952			
56	2004	Female	Germany	171	37	1948			
60	2004	Female	Germany	155	46	1944			
64	2004	Female	Germany	182	59	1940			
68	2004	Female	Germany	151	51	1936			
72	2004	Female	Germany	101	24	1932			
76	2004	Female	Germany	84	29	1928			
80	2004	Female	Germany	55	35	1924			
84	2004	Female	Germany	48	39	1920			
52	2008	Female	Germany	216	66	1956			
56	2008	Female	Germany	314	64	1952			
60	2008	Female	Germany	206	48	1948			
64	2008	Female	Germany	248	64	1944			
68	2008	Female	Germany	242	70	1940			
72	2008	Female	Germany	157	43	1936			
76	2008	Female	Germany	118	34	1932			
80	2008	Female	Germany	80	43	1928			
84	2008	Female	Germany	94	54	1924			
52	2012	Female	Germany	343	167	1960			
56	2012	Female	Germany	327	156	1956			
60	2012	Female	Germany	445	181	1952			
64	2012	Female	Germany	387	139	1948			
68	2012	Female	Germany	271	102	1944			
72	2012	Female	Germany	298	117	1940			
76	2012	Female	Germany	224	102	1936			
80	2012	Female	Germany	132	68	1932			
84	2012	Female	Germany	145	95	1928			
52	2016	Female	Germany	378	152	1964			
56	2016	Female	Germany	442	184	1960			
60	2016	Female	Germany	488	236	1956			
64	2016	Female	Germany	356	102	1952			
68	2016	Female	Germany	276	79	1948			
72	2016	Female	Germany	203	76	1944			
76	2016	Female	Germany	192	85	1940			
80	2016	Female	Germany	125	60	1936			
84	2016	Female	Germany	99	76	1932			
52	2004	Male	Sweden	149	18	1952			
56	2004	Male	Sweden	166	26	1948			
60	2004	Male	Sweden	212	16	1944			
64	2004	Male	Sweden	165	17	1940			
68	2004	Male	Sweden	144	21	1936			
72	2004	Male	Sweden	130	18	1932			
76	2004	Male	Sweden	92	19	1928			
80	2004	Male	Sweden	75	16	1924			
84	2004	Male	Sweden	75	19	1920			
52	2008	Male	Sweden	123	5	1956			
56	2008	Male	Sweden	232	27	1952			
60	2008	Male	Sweden	283	30	1948			
64	2008	Male	Sweden	264	22	1944			
68	2008	Male	Sweden	264	21	1940			
72	2008	Male	Sweden	190	18	1936			
76	2008	Male	Sweden	141	26	1932			
80	2008	Male	Sweden	149	19	1928			
84	2008	Male	Sweden	125	34	1924			
52	2012	Male	Sweden	79	19	1960			
56	2012	Male	Sweden	149	20	1956			
60	2012	Male	Sweden	344	55	1952			
64	2012	Male	Sweden	419	48	1948			
68	2012	Male	Sweden	464	48	1944			
72	2012	Male	Sweden	391	41	1940			
76	2012	Male	Sweden	273	48	1936			
80	2012	Male	Sweden	204	49	1932			
84	2012	Male	Sweden	226	67	1928			
52	2016	Male	Sweden	62	16	1964			
56	2016	Male	Sweden	158	30	1960			
60	2016	Male	Sweden	260	36	1956			
64	2016	Male	Sweden	304	28	1952			
68	2016	Male	Sweden	357	32	1948			
72	2016	Male	Sweden	340	33	1944			
76	2016	Male	Sweden	276	33	1940			
80	2016	Male	Sweden	176	41	1936			
84	2016	Male	Sweden	207	69	1932			
52	2004	Female	Sweden	144	56	1952			
56	2004	Female	Sweden	209	59	1948			
60	2004	Female	Sweden	194	63	1944			
64	2004	Female	Sweden	167	37	1940			
68	2004	Female	Sweden	137	37	1936			
72	2004	Female	Sweden	112	36	1932			
76	2004	Female	Sweden	65	27	1928			
80	2004	Female	Sweden	67	32	1924			
84	2004	Female	Sweden	62	47	1920			
52	2008	Female	Sweden	152	43	1956			
56	2008	Female	Sweden	253	75	1952			
60	2008	Female	Sweden	307	88	1948			
64	2008	Female	Sweden	317	59	1944			
68	2008	Female	Sweden	258	43	1940			
72	2008	Female	Sweden	155	43	1936			
76	2008	Female	Sweden	128	38	1932			
80	2008	Female	Sweden	115	37	1928			
84	2008	Female	Sweden	96	69	1924			
52	2012	Female	Sweden	105	51	1960			
56	2012	Female	Sweden	213	68	1956			
60	2012	Female	Sweden	331	101	1952			
64	2012	Female	Sweden	435	111	1948			
68	2012	Female	Sweden	523	118	1944			
72	2012	Female	Sweden	341	114	1940			
76	2012	Female	Sweden	254	80	1936			
80	2012	Female	Sweden	169	73	1932			
84	2012	Female	Sweden	200	111	1928			
52	2016	Female	Sweden	110	26	1964			
56	2016	Female	Sweden	188	66	1960			
60	2016	Female	Sweden	376	106	1956			
64	2016	Female	Sweden	270	77	1952			
68	2016	Female	Sweden	381	93	1948			
72	2016	Female	Sweden	357	96	1944			
76	2016	Female	Sweden	271	79	1940			
80	2016	Female	Sweden	177	68	1936			
84	2016	Female	Sweden	224	97	1932			
52	2004	Male	Spain	92	18	1952			
56	2004	Male	Spain	90	15	1948			
60	2004	Male	Spain	96	29	1944			
64	2004	Male	Spain	99	16	1940			
68	2004	Male	Spain	102	24	1936			
72	2004	Male	Spain	92	32	1932			
76	2004	Male	Spain	69	28	1928			
80	2004	Male	Spain	39	24	1924			
84	2004	Male	Spain	40	24	1920			
52	2008	Male	Spain	155	21	1956			
56	2008	Male	Spain	174	35	1952			
60	2008	Male	Spain	192	27	1948			
64	2008	Male	Spain	157	29	1944			
68	2008	Male	Spain	173	22	1940			
72	2008	Male	Spain	181	46	1936			
76	2008	Male	Spain	136	42	1932			
80	2008	Male	Spain	88	46	1928			
84	2008	Male	Spain	59	51	1924			
52	2012	Male	Spain	290	44	1960			
56	2012	Male	Spain	437	71	1956			
60	2012	Male	Spain	509	112	1952			
64	2012	Male	Spain	496	104	1948			
68	2012	Male	Spain	444	87	1944			
72	2012	Male	Spain	421	97	1940			
76	2012	Male	Spain	358	87	1936			
80	2012	Male	Spain	278	135	1932			
